Process	Parent_process
Direct lesion reversal	DNA single-strand break repair
Discoidin domain receptor signaling	Signaling by extracellular matrix components
DNA cleavage	Eukaryotic DNA replication
DNA replication elongation	Eukaryotic DNA replication
DNA replication initiation	Eukaryotic DNA replication
DNA supercoiling during transcription elongation	Transcription
Dopamine-mediated control of postsynaptic potential	Control of postsynaptic potential
Drug and toxin export via multidrug resistance-associated proteins	Drug and toxin export
Early endosome dynamics	Endocytic pathway
Ectodomain shedding of membrane proteins	Inhibition of matrix metalloproteinase activity
Eicosanoid metabolism	Fatty acid metabolism
Elastin cross-linking and assembly	Elastogenesis
Electron transport chain	Mitochondrial energy production
Endogenous control of complement activity	Complement pathway and regulation
Endoplasmic reticulum quality control system	Post-translational protein modification and quality control during biosynthetic-secretory pathway
Endoplasmic reticulum tubulus maintenance	Endoplasmic reticulum and nuclear envelope organization
Endoplasmic sheet maintenance	Endoplasmic reticulum and nuclear envelope organization
Endothelin receptor signaling	Signaling pathways regulating cardiovascular homeostasis
Ephrin receptor signaling	Signaling pathways that control cell proliferation and differentiation
Epidermal growth factor receptor signaling	Epidermal growth factor family signaling
Epithelial intermediate filament dynamics	Cytoplasmic intermediate filament and septin dynamics
Equatorial RhoA activation	Cytokinesis
ER unfolded protein response pathway	Post-translational protein modification and quality control during biosynthetic-secretory pathway
ER-endosome tethering	Organelle Tethering
ER-Golgi tethering	Organelle Tethering
ER-mitochondria tethering	Organelle Tethering
ER-nucleus tethering	Organelle Tethering
ER-phagy	Non-Canonical autophagy
ER-vacuole tethering	Organelle Tethering
Erythropoietin receptor signaling	Signaling pathways involved in hematopoiesis
Estrogen receptor signaling	Steroid and sex hormone signaling
Estrogen synthesis	Steroid hormone synthesis
Eukaryotic axoneme organization	Eukaryotic cilium and flagellum organization
Eukaryotic basal body organization	Eukaryotic cilium and flagellum organization
Eukaryotic intraflagellar transport	Eukaryotic cilium and flagellum organization
Eukaryotic kinetochore dynamics	Chromosome segregation by mitotic spindle
Eukaryotic transition zone organization	Eukaryotic cilium and flagellum organization
Exomer-mediated vesicle traffic from TGN to plasma membrane	Vesicle exocytosis
Exosome secretion	Vesicle exocytosis
Extracellualr matrix biglycan breakdown	Inhibition of matrix metalloproteinase activity
Extracellualr matrix laminin breakdown	Extracellular matrix breakdown
Extracellular matrix fibronectin breakdown	Extracellular matrix breakdown
Extracellular matrix gelatin breakdown	Extracellular matrix breakdown
Extracellular matrix osteonectin breakdown	Extracellular matrix breakdown
Extracellulur matrix aggrecan breakdown	Extracellular matrix breakdown
Extracellulur matrix casein breakdown	Extracellular matrix breakdown
Extracellulur matrix collagen breakdown	Extracellular matrix breakdown
Extracellulur matrix elastin breakdown	Extracellular matrix breakdown
Extracellulur matrix plasminogen breakdown	Extracellular matrix breakdown
Extracellulur matrix tenascin breakdown	Extracellular matrix breakdown
Extracellulur matrix vitronectin breakdown	Extracellular matrix breakdown
Extrinsic apoptosis pathway	Apoptosis
Facilitative nucleoside transmembrane transport	Not assigned - level2
Fanconi anemia interstrand cross-link repair pathway	DNA interstrand cross-links repair
Fatty acid elongation	Fatty acid metabolism
Fatty acid omega-hydroxylation	Fatty acid metabolism
Fatty acid transfer between membranes	Fatty acid metabolism
Fatty acid transport by Carnitine shuttle	Fatty acid metabolism
Fc receptor signaling	Immune receptor Signaling
Fibrillar collagen core structure organization	Collagen biosynthesis
Fibrillin synthesis	Elastogenesis
Fibroblast growth factor receptor signaling	Signaling pathways that control cell proliferation and differentiation
Fibronectin assembly	Fibronectin matrix dynamics
Fibronectin synthesis	Fibronectin matrix dynamics
Fibulin receptor signaling	Matricellular protein signaling
Filopodium organization	Filopodium and lamellipodium organization
Focal adhesion organization	Cell-matrix adhesion organization
Folate and thiamine transmembrane transport	Metabolism of water-soluble vitamins
Folate cycle	One carbon metabolism
Follicle stimulating hormone receptor signaling	Signaling pathways regulating steroid and sex hormone synthesis
Free fatty acid release from chylomicrons	Exogenous lipoprotein metabolic pathway
Free fatty acid release from VLDL particles	Endogenous lipoprotein metabolic pathway
Free radical generation by Myeloperoxidase	Free radical generation for respiratory burst
Free radical generation by NADPH oxidase	Free radical generation for respiratory burst
Fructose and mannose metabolism	Carbohydrate metabolism and transport
G2 M transition checkpoint	Mitotic cell cycle checkpoints
GABA metabolism	Metabolism of glutamate and histidine products
GABA-mediated control of postsynaptic potential	Control of postsynaptic potential
Galactose metabolism	Carbohydrate metabolism and transport
Gap junction organization	Cell-cell junction organization
Gastric inhibitory polypeptide receptor signaling	Gastrointestinal hormone signaling
Gastrin and cholecystokinin B receptor signaling	Gastrointestinal hormone signaling
Gastrin-releasing peptide receptor signaling	Bombesin receptor signaling
Ghrelin receptor signaling	Gastrointestinal hormone signaling
Glucagon receptor signaling	Signaling pathways involved in glucose and lipid homeostasis
Glucagon-like peptide-1 receptor signaling	Signaling pathways involved in glucose and lipid homeostasis
Glucocorticoid and Mineralocorticoid synthesis	Steroid hormone synthesis
Glucocorticoid receptor signaling	Steroid and sex hormone signaling
Glucuronidation	Phase II biotransformation
Glutamate and glutamine metabolism	Metabolism of non-essential amino acids
Glutamate transport across vesicle membrane	Metabolism of non-essential amino acids
Glutamate-mediated control of postsynaptic potential	Control of postsynaptic potential
Gluthatione conjugation	Phase II biotransformation
Glycerol phosphate shuttle	Mitochondrial energy production
Glycine-mediated control of postsynaptic potential	Control of postsynaptic potential
Glycogen synthesis and glycogenolysis	Carbohydrate metabolism and transport
Glycolysis and Gluconeogenesis	Carbohydrate metabolism and transport
Glycophagy	Non-Canonical autophagy
Glyoxylate metabolism	Metabolism of non-essential amino acids
Golgi-Lysosome tethering	Organelle Tethering
GPI-anchor synthesis and attachment to protein	Post-translational protein modification and quality control during biosynthetic-secretory pathway
G-protein coupled receptor signaling cascade	Intracellular common signaling cascades of multiple pathways
Granulocyte macrophage colony-stimulating factor receptor signaling	Signaling pathways involved in hematopoiesis
Granulocyte-colony stimulating factor receptor signaling	Signaling pathways involved in hematopoiesis
Growth differentiation factor receptor signaling	TGF-beta superfamily signaling
Growth hormone receptor signaling	Signaling pathways that control cell proliferation and differentiation
Hedgehog receptor signaling	Signaling pathways that control cell proliferation and differentiation
Heme degradation to bilirubin	Heme and hemoglobin metabolism
Heme synthesis	Heme and hemoglobin metabolism
Heme transmembrane transport	Heme and hemoglobin metabolism
Hemidesmosome organization	Cell-matrix adhesion organization
Hemoglobin and myoglobin synthesis	Heme and hemoglobin metabolism
Heparin and heparan sulfate synthesis	Glycosaminoglycan synthesis
Heparin-binding EGF-like growth factor receptor signaling	Epidermal growth factor family signaling
Hepatocyte growth factor receptor signaling	Signaling pathways that control cell proliferation and differentiation
HIF-1 receptor signaling pathway	Signaling pathways that control cell proliferation and differentiation
Hippo signaling	Signaling pathways that control cell proliferation and differentiation
Histamine metabolism	Metabolism of glutamate and histidine products
Histone acetylation and deactylation	Histone modification
Histone crotonylation and decrotonylation	Histone modification
Histone methylation and demethylation	Histone modification
Histone phosphorylation and dephosphorylation	Histone modification
Histone ubiquitination and deubiquitination	Histone modification
Homologous recombination DSB repair	DNA double-strand break repair
HSF1 mediated heat-shock response	Response to heat stress
Hyaluronan receptor CD44 signaling	Signaling by extracellular matrix components
Hyaluronan synthesis	Glycosaminoglycan synthesis
Hyaluronan-mediated motility receptor signaling	Signaling by extracellular matrix components
Hydrogen transport across ER membrane	Cellular pH homeostasis
Hydrogen transport across mitochondrial membrane	Cellular pH homeostasis
Hydrogen transport across plasma membrane	Cellular pH homeostasis
Hydrogen transport across vesicle membrane	Cellular pH homeostasis
IDL particle clearance	Endogenous lipoprotein metabolic pathway
IDL particle remodeling to LDL particle	Endogenous lipoprotein metabolic pathway
Immunglobulin dynamics	Blood protein dynamics
Immunoproteasome organization	Ubiquitin mediated proteasomal degradation
Inhibin receptor signaling	TGF-beta superfamily signaling
Inhibition of amyloid aggregation, amyloid degradation and uptake	Amyloid generation and aggregation
Inhibition of apoptosis	Apoptosis
Inhibition of matrix metalloproteinase and adamalysin activity	Inhibition of matrix metalloproteinase activity
Inhibition of meprin activity	Inhibition of matrix metalloproteinase activity
Inhibition of RNA degradation	RNA surveillance and degradation
Inhibition of splicing by hnRNPs	Pre-mRNA splicing
Initial cytoplasmic mRNA deadenylation	RNA surveillance and degradation
Inositol metabolism and transport	Carbohydrate metabolism and transport
Insulin receptor signaling	Signaling pathways involved in glucose and lipid homeostasis
Insulin-like growth factor receptor signaling	Signaling pathways that control cell proliferation and differentiation
Integrin receptor signaling	Signaling by extracellular matrix components
Integrin-mediated leukocyte slow rolling and arrest	Rolling cell adhesion
Interferon alpha receptor signaling	Interferon signaling
Interferon beta receptor signaling	Interferon signaling
Interferon gamma receptor signaling	Interferon signaling
Interferon receptor signaling	Interferon signaling
Intergrin mediated mechanotransduction	Mechanotransduction
Interleukin 1 receptor signaling	Interleukin receptor signaling
Interleukin 11 receptor signaling	Interleukin receptor signaling
Interleukin 12 receptor signaling	Interleukin receptor signaling
Interleukin 13 receptor signaling	Interleukin receptor signaling
Interleukin 15 receptor signaling	Interleukin receptor signaling
Interleukin 18 receptor signaling	Interleukin receptor signaling
Interleukin 2 receptor signaling	Interleukin receptor signaling
Interleukin 21 receptor signaling	Interleukin receptor signaling
Interleukin 23 receptor signaling	Interleukin receptor signaling
Interleukin 27 receptor signaling	Interleukin receptor signaling
Interleukin 3 receptor signaling	Interleukin receptor signaling
Interleukin 33 receptor signaling	Interleukin receptor signaling
Interleukin 4 receptor signaling	Interleukin receptor signaling
Interleukin 5 receptor signaling	Interleukin receptor signaling
Interleukin 6 receptor signaling	Interleukin receptor signaling
Interleukin 7 receptor signaling	Interleukin receptor signaling
Interleukin 8 receptor signaling	Interleukin receptor signaling
Interleukin 9 receptor signaling	Interleukin receptor signaling
Intestinal absorption and excretion of cholesterol	Metabolism and transport of cholesterol, steroids and bile acids
Intracellular bridge abscission during cytokinesis	Cytokinesis
Intracellular bridge formation during cytokinesis	Cytokinesis
Intrinsic apoptosis pathway	Apoptosis
JAK-STAT signaling cascade	Intracellular common signaling cascades of multiple pathways
Kallidin receptor signaling	Kinin–kallikrein system
Ketone body metabolism	Fatty acid metabolism
Lamellipodium organization	Filopodium and lamellipodium organization
Large ribosomal subunit organization	Ribonucleoprotein biogenesis
Late endosome dynamics	Endocytic pathway
Lectin complement pathway	Complement pathway and regulation
Leptin receptor signaling	Gastrointestinal hormone signaling
Leukemia inhibitory factor receptor signaling	Signaling pathways involved in hematopoiesis
Leukocyte transmigration through endothelial cells	Rolling cell adhesion
Linkage of nucleoskeleton and cytoskeleton	Interphase nucleus and nuclear chromatin organization
Lipid droplet biogenesis	Lipid droplet dynamics
Lipid droplet fusion	Lipid droplet dynamics
Lipid droplet mitochondria interaction	Lipid droplet dynamics
Lipid transfer between membrane leaflets	Membrane lipid metabolism
Lipid-raft microdomains	Plasma membrane microdomains
Lipogenesis	Fatty acid metabolism
Luteinizing hormone hormone receptor signaling	Signaling pathways regulating steroid and sex hormone synthesis
Lysine metabolism	Metabolism of essential amino acids
Lysophosphatidylcholine homeostasisLysophosphatidylcholine transmembrane transport	Membrane lipid metabolism
Lysosomal acidification	Degradation by lysosomal enzymes
Lysosomal glycoprotein degradation	Degradation by lysosomal enzymes
Lysosomal glycosaminoglycan degradation	Degradation by lysosomal enzymes
Lysosomal lipid degradation	Degradation by lysosomal enzymes
Macroautophagy	Autophagy
Macrophage migration inhibitory factor signaling	Epidermal growth factor family signaling
Magnesium transport across ER membrane	Cellular magnesium homeostasis
Magnesium transport across mitochondrial membrane	Cellular magnesium homeostasis
Magnesium transport across plasma membrane	Cellular magnesium homeostasis
Malate-aspartate shuttle	Mitochondrial energy production
Mammalian target of rapamycin signaling cascade	Intracellular common signaling cascades of multiple pathways
MAPK signaling cascade	Intracellular common signaling cascades of multiple pathways
Mature astrocyte differentiation markers	Mature neuronal cell differentiation markers
Mature brown adipocyte differentiation markers	Mature adipocyte differentiation markers
Mature chondrocyte differentiation markers	Mature cartilage differentiation markers
Mature cone photoreceptor differentiation markers	Mature retinal cell differentiation markers
Mature hepatocyte cell differentiation markers	Mature liver cell differentiation markers
Mature inner hair cells differentiation markers	Mature auditory hair cell diffeentiation markers
Mature kupffer cell differentiation markers	Mature liver cell differentiation markers
Mature lymphocyte differentiation markers	Mature Hematopoietic stem cell differentiation markers
Mature myeloid cell differentiation markers	Mature Hematopoietic stem cell differentiation markers
Mature myocyte cell differentiation markers	Mature Hematopoietic stem cell differentiation markers
Mature neuron cell differentiation markers	Mature neuronal cell differentiation markers
Mature oligodendrocyte differentiation markers	Mature neuronal cell differentiation markers
Mature oocyte differntiation markers	Mature germ cell differentiation markers
Mature osteoblast differentiation markers	Mature bone cell differentiation markers
Mature osteoclast differentiation markers	Mature bone cell differentiation markers
Mature osteocyte maturation	Mature bone cell differentiation markers
Mature outer hair cells differentiation markers	Mature auditory hair cell diffeentiation markers
Mature pneumocyte type I cell differentiation markers	Mature alveolar cell differentiation markers
Mature pneumocyte type II cell differentiation markers	Mature alveolar cell differentiation markers
Mature podocyte cell differentiation markers	Mature kidney cell differentiation markers
Mature retinal ganglion cell maturation	Mature retinal cell differentiation markers
Mature rod photoreceptor differentiation markers	Mature retinal cell differentiation markers
Mature schwann cell differentiation markers	Mature neuronal cell differentiation markers
Mature sperm cell differentiation markers	Mature germ cell differentiation markers
Mature white adipocyte differentiation markers	Mature adipocyte differentiation markers
MDA-5 receptor signaling	Pattern recognition signaling
Mechanotransduction via mechanosensitive ion channels	Mechanotransduction
Membrane attack complex formation	Complement pathway and regulation
Membrane phospholipid and cholesterol uptake by HDL particles	Reverse cholesterol transport
Metabolism of branched-chain amino acids	Metabolism of essential amino acids
Metaphase to anaphase checkpoint	Mitotic cell cycle checkpoints
Methionine cycle	One carbon metabolism
Microfibril scaffold organization	Elastogenesis
Microtubule assistance of vesicle traffic between Golgi and ER	Vesicle traffic between ER and TGN
Microtubule crosslinking and bundling	Microtubule dynamics
Microtubule depolymerization, severing and catastrophe	Microtubule dynamics
Microtubule destabilization	Microtubule dynamics
Microtubule nucleation and rescue	Microtubule dynamics
Microtubule plus-end tracking	Microtubule dynamics
Microtubule polymerization	Microtubule dynamics
Microtubule stabilization	Microtubule dynamics
Microtubule-based RNA transport	RNA surveillance and degradation
Microtubule-based secretory vesicle traffic	Vesicle exocytosis
Mineralocorticoid receptor signaling	Signaling pathways regulating water homeostasis
Mismatch repair	DNA single-strand break repair
Mitochondrial ADP import and ATP export	Mitochondrial energy production
Mitochondrial ATP-synthesis	Mitochondrial energy production
Mitochondrial cristae dynamics	Mitochondrial dynamics
Mitochondrial fission	Mitochondrial dynamics
Mitochondrial fusion	Mitochondrial dynamics
Mitochondrial transport	Mitochondrial dynamics
Mitochondrial uncoupling by mitochondrial anion carrier proteins	Mitochondrial energy production
Mitochondria-Lysosome	Organelle Tethering
Mitophagy	Non-Canonical autophagy
Mitotic chromosome condensation	Chromosome segregation by mitotic spindle
Mitotic H3 phosphorylation	Chromosome segregation by mitotic spindle
Mitotic spindle assembly	Chromosome segregation by mitotic spindle
Mitotic spindle disassembly	Chromosome segregation by mitotic spindle
Molybdate transport across ER membrane	Cellular molybdate homeostasis
Molybdate transport across mitochondrial membrane	Cellular molybdate homeostasis
Molybdate transport across plasma membrane	Cellular molybdate homeostasis
Monocarboxylate transport across ER membrane	Monocarboxylate transmembrane transport
Monocarboxylate transport across mitochondrial membrane	Monocarboxylate transmembrane transport
Monocarboxylate transport across plasma membrane	Monocarboxylate transmembrane transport
Motilin receptor signaling	Gastrointestinal hormone signaling
mRNA decapping and 5' degradation	RNA surveillance and degradation
mRNA stabilization and translational repression by mRNA deadenylation	RNA surveillance and degradation
Multivesicular body dynamics	Endocytic pathway
Muscarinic acetylcholine receptor signaling	Signaling pathways regulating cardiovascular homeostasis
MyD88 signaling cascade	Intracellular common signaling cascades of multiple pathways
Myelin biogenesis and maturation	Neuronal action potential generation and propagation
Myofibril formation	Myofibril formation and organization
Nascent HDL particle synthesis and secretion	Reverse cholesterol transport
Natriuretic peptide receptor signaling	Signaling pathways regulating water homeostasis
Necroptosis induction	Necroptosis
Necroptotic release of damage-associated molecular patterns	Necroptosis
Necrosome formation	Necroptosis
Nerve growth factor receptor signaling	Neuronal signaling pathways
Neuregulin receptor signaling	Epidermal growth factor family signaling
Neuromedin B receptor signaling	Bombesin receptor signaling
Neuronal membrane depolarization during action potential	Neuronal action potential generation and propagation
Neuronal membrane repolarization during action potential and hyperpolarization	Neuronal action potential generation and propagation
Neuronal pacemaker current generation	Neuronal action potential generation and propagation
NFkB signaling cascade	Intracellular common signaling cascades of multiple pathways
Niacin metabolism	Metabolism of water-soluble vitamins
Nitric oxide signaling cascade	Intracellular common signaling cascades of multiple pathways
Nodal growth differentiation factor receptor signaling	TGF-beta superfamily signaling
NOD-like receptor signaling	Pattern recognition signaling
Non-homologous end joining DSB repair	DNA double-strand break repair
Non-raft microdomains	Plasma membrane microdomains
Nonsense-mediated mRNA decay pathway	RNA surveillance and degradation
Nonstop mRNA decay pathway	RNA surveillance and degradation
Non-vesicular ceramide transport	Non-vesicular lipid transport
Non-vesicular oxysterol transport	Non-vesicular lipid transport
Non-vesicular phospholipid transport	Non-vesicular lipid transport
Notch receptor signaling	Signaling pathways that control cell proliferation and differentiation
Nuclear Drosha-mediated microRNA processing	miRNA and endogenous siRNA biogenesis
Nuclear envelope maintenance	Endoplasmic reticulum and nuclear envelope organization
Nuclear export of snRNA	snRNA expression and spliceosome generation
Nuclear import of core snRNP	snRNA expression and spliceosome generation
Nuclear intermediate filaments	Interphase nucleus and nuclear chromatin organization
Nuclear mRNA export	mRNA capping, editing, polyadenylation and nuclear export
Nuclear pore complex organization	Protein transport across the nuclear membrane
Nuclear protein export	Protein transport across the nuclear membrane
Nuclear protein import	Protein transport across the nuclear membrane
Nuclear snRNA processing	snRNA expression and spliceosome generation
Nucleosome assembly	Chromatin remodeling
Nucleosome disassembly	Chromatin remodeling
Nucleosome remodeling	Chromatin remodeling
Nucleotide excision repair	DNA single-strand break repair
Nucleotide sugar transmembrane transport	Carbohydrate metabolism and transport
Oligopeptide homeostasisOligopeptide transmembrane transport	Not assigned - level2
Oncogene induced senescence	Cell Scenescence
Oncostatin-M receptor signaling	Signaling pathways involved in hematopoiesis
Organic anion transmembrane transport	Not assigned - level2
Organic cation and zwitterion transmembrane transport	Not assigned - level2
Osteonectin receptor signaling	Matricellular protein signaling
Osteopontin receptor signaling	Matricellular protein signaling
Oxidative senescence	Cell Scenescence
Oxygen mediated regulation of hypoxia-inducible-factor	Response to hypoxia
Parathyroid hormone receptor signaling	Signaling pathways regulating calcium homeostasis
Pentose phosphate pathway	Carbohydrate metabolism and transport
Perlecan synthesis	Basement membrane dynamics
Peroxisomal transport	Peroxisome dynamics
Peroxisome proliferator-activated receptor alpha signaling	Signaling pathways involved in glucose and lipid homeostasis
Peroxisome proliferator-activated receptor gamma signaling	Signaling pathways involved in glucose and lipid homeostasis
Phase I biotransformation via alcohol dehydrogenases	Phase I biotransformation
Phase I biotransformation via cytochrome P450	Phase I biotransformation
Phase I biotransformation via flavin-containing monooxygenases	Phase I biotransformation
Phenylalanine catabolism	Metabolism of essential amino acids
Phosphate transport across ER membrane	Cellular phosphate homeostasis
