Process	Genes
cell-type specific apoptotic process	AATK AIFM1 AKT1 APAF1 APP ARF6 ATM ATN1 BAK1 BAX BCL10 BCL2 BCL2L1 BCL2L11 BID BNIP3 BOK CAPN10 CASP3 CASP8 CASP9 CDK5 CLC COL4A3 CTSL DAB2IP DFFA DIABLO DMPK DNAJA3 E2F1 E2F2 ERBB3 FADD FAM162A FAP FAS FASLG GAPDH GDF6 GLI3 GNB1 GNGT1 HCAR2 HIPK1 HTT IFNG IL2RA IL6 IRF3 JAG2 KRT18 KRT8 LIG4 MAX MYC NAE1 NGF NLRP1 PIGT PIK3CG PLK5 POLB POU4F3 PSEN1 RB1 RHOB RIPK1 RPS6 RPS6KA2 RYR2 SCN2A SDIM1 SIAH1 SIVA1 SIX3 STK3 STK4 TBX1 TGFBR2 TNF TNFRSF21 TP53 TP63 TRAF3IP2 XIAP
chromosome organization involved in meiosis	BAG6 CCDC79 CPEB1 DMC1 EHMT2 FANCD2 HORMAD1 HORMAD2 LEPREL4 MAEL MEI4 MEIOB MLH1 MLH3 MRE11A NDC1 RAD51C SGOL2 SMC2 SMC4 SPATA22 SPO11 STAG3 STRA8 SYCE1 SYCE1L SYCE2 SYCE3 SYCP1 SYCP2 SYDE1 TEX11 TEX12 TEX15 TRIP13 UNKNOWN
cytosolic calcium ion homeostasis	ABL1 ABL2 ADCYAP1 ADM ADRA1A AGTR1 ATP1A2 ATP2B2 ATP2B4 AVP AVPR1A AVPR1B BBC3 BCAP31 BDKRB1 BDKRB2 C1QTNF1 C3AR1 C5AR1 CACNA1A CACNA1C CALB1 CALB2 CALCA CALCR CAV1 CAV3 CCKAR CCKBR CCL19 CCL21 CCL28 CCL3 CCR1 CCR10 CCR2 CCR3 CCR4 CCR5 CCR6 CCR7 CCR8 CCR9 CD24 CD38 CD52 CD55 CDH23 CHERP CHRM2 CHRNA10 CHRNA9 CLN3 CNGB1 CRHR1 CUL5 CXCL13 CXCR3 CXCR4 CYSLTR1 DDIT3 DLG4 DRD1 DRD2 E9PQ18 EDN1 EDN2 EDNRA EDNRB ERO1L ESR1 F2 F2R F2RL1 FGF2 FIS1 FKBP1B GALR1 GALR2 GCK GHRL GIPR GJA1 GLP1R GNA13 GNA15 GNAT2 GNB1 GNG3 GPER1 GRM1 GTF2I HCRT HRC HRH3 HRH4 HTR2A HTR2B HTR2C IBTK IL2 ITPR1 ITPR3 JAK2 JPH1 JPH2 JPH3 JPH4 KCNA5 KCNK3 KISS1 KNG1 LCK LPAR1 LPAR2 LPAR3 LRP6 MCHR1 MCOLN1 NMB NMUR2 NPFF NPTN NPY2R OPRL1 OPRM1 OXT OXTR P2RY1 P2RY4 PDE6A PDE6B PDGFRA PIK3CG PKD1 PKD2 PLA2G6 PLCE1 PLCG2 PLN PRKACA PRKCE PROK2 PTH1R PTK2B PTPRC PVALB RIC3 RXFP3 RYR1 RYR2 RYR3 S1PR1 S1PR3 S1PR4 SAA1 SLC35G1 SLC8A1 SLC8A3 SLC8B1 TAC1 TACR1 TBXA2R TGM2 TMEM64 TPCN2 TRDN TRPC1 TRPC6 TRPM1 TRPV4 TRPV5 UTS2 UTS2R XCL1 XCR1
mitochondrial genome maintenance	AKT3 LONP1 MEF2A MEF2C MGME1 MPV17 PIF1 SLC25A4 TYMP
reproduction	ACR ADAM2 ADAM20 ADAM21 ADAM30 B4GALT1 CATSPER1 CATSPER2 CATSPER3 CATSPER4 CATSPERB CATSPERD CATSPERG CD9 EIF4H HVCN1 IL12B IZUMO1 KCNU1 MMP23A OVGP1 RHOXF1 SEMG2 SEPP1 SPAM1 STAT3 TNP1 VGF ZP1 ZP2 ZP3 ZP4
single strand break repair	APLF APTX E9PJ82 E9PLZ0 E9PP57 E9PQ18 FOXH1 H0YCS5 H0YEW9 LIG4 M0R2N6 Q6ZNB5 SIRT1 TDP1 TNP1 XRCC1
regulation of DNA recombination	ALYREF APLF BCL6 BLM CD28 CD40 CHEK1 CLCF1 EXOSC3 FIGNL1 FOXP3 IFNG IL10 IL2 IL27RA IL4 IL7R KPNA1 KPNA2 LIG3 MLH1 MRE11A MSH2 MSH3 MSH6 NDFIP1 PARPBP PAXIP1 PPP4C PPP4R2 PRDM9 PTPRC RAD18 RAD50 RAD51 RAD51AP1 RPA2 RTEL1 SIRT6 SMARCAD1 SPIDR STAT6 SUPT6H TBX21 TERF2IP TEX15 TGFB1 THOC1 TNFSF13 TNFSF4 UBE2B ZRANB3
ribosomal small subunit assembly	ERAL1 RPS14 RPS17 RPS19 RPS25 RPS6 RPSA RPSAP58
very long-chain fatty acid metabolic process	ABCD1 ABCD2 ABCD3 ACAA1 ACOT1 ACOT2 ACOT4 ACOX1 ACSBG1 CYP4F12 CYP4F2 ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL7 HSD17B4 PEX2 PEX5 SLC27A2 SLC27A4 SLC27A5 SLC27A6 TECR
transition metal ion transport	ATOX1 ATP2C1 ATP6V0A1 ATP6V0A2 ATP6V0A4 ATP6V0B ATP6V0C ATP6V0D1 ATP6V0D2 ATP6V0E1 ATP6V0E2 ATP6V1A ATP6V1B1 ATP6V1B2 ATP6V1C1 ATP6V1C2 ATP6V1D ATP6V1E1 ATP6V1E2 ATP6V1F ATP6V1G1 ATP6V1G2 ATP6V1G3 ATP6V1H ATP7A ATP7B CCS CLTC COX17 CP CUTC DNM2 FKBP4 FTH1 FTH1P19 FTHL17 FTL FTMT GIF HEPH HEPHL1 HFE IREB2 LMTK2 LTF MCOLN1 MFI2 MT3 PICALM PVRL1 RAB11B REP15 SCARA5 SCO1 SCO2 SFXN1 SLC11A1 SLC11A2 SLC25A37 SLC30A1 SLC30A10 SLC30A2 SLC30A3 SLC30A4 SLC30A5 SLC30A6 SLC30A7 SLC30A8 SLC30A9 SLC31A1 SLC31A2 SLC39A1 SLC39A10 SLC39A11 SLC39A12 SLC39A13 SLC39A14 SLC39A2 SLC39A3 SLC39A4 SLC39A5 SLC39A6 SLC39A7 SLC39A8 SLC39A9 SLC40A1 SNX3 STEAP2 STEAP3 STEAP4 TCIRG1 TCN1 TCN2 TF TFR2 TFRC TRPC7 TRPM2 TTYH1 ZP2 ZP3
protein targeting to Golgi	GCC1 GCC2 GOLGA1 GOLGA4 OPTN PACS1 RAB6A RGPD1 RGPD2 RGPD3 RGPD4 RGPD5 RGPD8 SORL1 TRIP11
urea cycle	ARG1 ARG2 ASL ASS1 CEBPA CPS1 HTT NAGS OTC SLC25A15 SLC25A2
citrulline metabolic process	ALDH18A1 ASS1 CPS1 DDAH1 DDAH2 HTT OTC PADI1 PADI2 PADI3 PADI4 PADI6
protein import into nucleus, translocation	ABRA AGAP3 AKR1C3 AKT1 ARNTL BCL3 BCL6 CEP57 GCKR IFNG KPNB1 MT3 NFKBIA OPRD1 OR1D2 POLA2 RBM22 SEC61B SIX3 SLC11A1 TGFB1 TNF TNPO1 TP53
mitotic sister chromatid segregation	BUB3 CIT ESPL1 INO80 KIF18B KIF25 KIFC1 KLHL22 KNSTRN MAD2L1 NDC80 NEK2 NUSAP1 PLK1 SMC1A SMC4 SPAG5 ZNF207 ZW10 ZWINT
cell cycle checkpoint	ANAPC1 ANAPC10 ANAPC11 ANAPC2 ANAPC4 ANAPC5 ANAPC7 APC ATF2 ATM ATR ATRIP AURKB BABAM1 BCL2L1 BIRC5 BLM BRCA1 BRCC3 BRE BRIP1 BRSK1 BUB1 BUB1B BUB3 C10ORF90 CASC5 CCNA2 CCNB1 CCND1 CCNE2 CCNG1 CCNG2 CDC14B CDC16 CDC20 CDC23 CDC26 CDC27 CDC45 CDC6 CDK1 CDK2 CDKN2B CDT1 CENPF CEP63 CHEK1 CHEK2 CHFR CHMP4C CLOCK CLSPN CSNK2A1 CSNK2A2 DCLRE1B DGKZ DLG1 DNA2 DTL E2F1 FAM175A FANCG FBXO31 FBXO6 FOXN3 FOXO4 FZR1 GIGYF2 H2AFX HINFP HMGA2 HORMAD1 HRAS HUS1 HUS1B IER3 INTS3 INTS7 KLHL22 KNTC1 MAD1L1 MAD2L1 MAD2L1BP MAD2L2 MAPK14 MAPKAPK2 MBD4 MDC1 MRE11A MSH2 MTBP NABP1 NABP2 NAE1 NBN NEK11 NEK6 PEA15 PLK1 PLK2 PLK3 PLK5 PRCC PSMG2 PTPN11 RAD1 RAD17 RAD9A RAD9B RB1 RBBP8 RFWD3 RHNO1 RPA2 RPA4 RPL24 RPS27L RPS6 SMC1A SPDL1 STRA8 SYF2 TAOK1 TAOK2 TAOK3 TERF1 TEX14 TGFB1 TICRR TIPIN TIPRL TOP2A TOP2B TP53 TP63 TP73 TPR TRRAP TTK UBE2C UBE2D1 UBE2E1 UIMC1 USP17L2 USP28 VPS4A WAC WNT9A XPC ZAK ZFYVE19 ZNF207 ZW10 ZWILCH ZWINT
DNA replication checkpoint	CDC45 CDC6 CDT1 CLSPN DNA2 NAE1 RAD17 RAD9A STRA8 TICRR TIPIN
DNA damage checkpoint	ATF2 ATM ATR ATRIP BABAM1 BLM BRCA1 BRCC3 BRE BRIP1 BRSK1 C10ORF90 CCNA2 CCND1 CCNG1 CDC14B CDK1 CDK2 CEP63 CHEK1 CHEK2 CLOCK CLSPN DGKZ DTL E2F1 FAM175A FBXO31 FBXO6 FOXN3 FOXO4 FZR1 GIGYF2 H2AFX HINFP HMGA2 HUS1 HUS1B IER3 INTS7 MAPK14 MAPKAPK2 MBD4 MDC1 MRE11A MSH2 NBN NEK11 NEK6 PEA15 PLK1 PLK5 PTPN11 RAD1 RAD17 RAD9A RAD9B RBBP8 RFWD3 RHNO1 RPA2 RPA4 RPS27L SYF2 TAOK1 TAOK2 TAOK3 TIPIN TIPRL TP53 TP63 TP73 UIMC1 USP28 WAC XPC ZAK
regulation of cyclin-dependent protein serine/threonine kinase activity	ADAM17 AKT1 APC BCCIP BLM CASP3 CCNA1 CCNA2 CCNB1 CCNB2 CCNB3 CCNC CCND1 CCND2 CCND3 CCNE1 CCNE2 CCNG1 CCNH CCNI2 CCNK CCNL1 CCNL2 CCNO CCNT1 CCNT2 CCNY CCNYL1 CCNYL2 CDC25A CDC25C CDC37 CDC6 CDK5R1 CDK5R2 CDK5RAP1 CDK5RAP3 CDK7 CDKN1A CDKN1B CDKN2A CDKN2B CDKN2C CDKN2D CDKN3 CKS1B CKS2 CNPPD1 CNTD2 DIRAS3 EGFR FAM58A FAM58BP FBXO7 FGF10 GADD45A GTF2H1 GTPBP4 HERC5 HEXIM1 HEXIM2 HHEX HSPA2 INCA1 KAT2B LATS1 LATS2 MAPRE3 MEN1 MNAT1 MYOCD NR2F2 PDGFB PIM1 PKD1 PKD2 PKMYT1 PLK1 PROX1 PSMD10 PSRC1 PTEN RGCC SERTAD1 SFN SPDYA TFAP4 TNFAIP3 WEE2
G1/S transition of mitotic cell cycle	ACVR1 ACVR1B BCAT1 CACUL1 CAMK2A CAMK2B CAMK2D CAMK2G CCNA1 CCNB1 CCND1 CCNE1 CCNE2 CCNH CDC25A CDC34 CDC45 CDC6 CDC7 CDCA5 CDK1 CDK2 CDK3 CDK4 CDK6 CDK7 CDKN1A CDKN1B CDKN2A CDKN2C CDKN2D CDKN3 CDT1 CKS1B CRLF3 CUL1 CUL2 CUL3 CUL4A CUL5 DBF4 DHFR E2F1 EIF4E EIF4EBP1 FBXO5 GPR132 GSPT1 HINFP ID4 INHBA IQGAP3 ITGB1 LATS2 MCM10 MCM2 MCM3 MCM4 MCM5 MCM6 MCM7 MCM8 MNAT1 MYB NFATC1 ORC1 ORC2 ORC3 ORC4 ORC5 ORC6 PCNA PHF8 PIM2 PKMYT1 PLK2 PLK3 POLA1 POLA2 POLE POLE2 PPAT PPP2R3B PPP3CA PPP6C PRIM1 PRIM2 PSMA1 PSMA2 PSMA3 PSMA4 PSMA5 PSMA6 PSMA7 PSMB1 PSMB10 PSMB2 PSMB3 PSMB4 PSMB5 PSMB6 PSMB7 PSMB8 PSMB9 PSMC1 PSMC2 PSMC3 PSMC4 PSMC5 PSMC6 PSMD1 PSMD10 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD4 PSMD5 PSMD6 PSMD7 PSMD8 PSMD9 PSME1 PSME2 PSME3 PSMF1 RB1 RBBP8 RCC1 RHOU RPA1 RPA2 RPA3 RPA4 RPS27A RPS6 RPS6KB1 RRM2 SKP1 SKP2 SPDYA TFDP1 TFDP3 TRIM71 TYMS UBA52 UBB UBC USP37 WEE1
regulation of transcription involved in G1/S transition of mitotic cell cycle	BACH1 BRD4 CCNA1 CCNE1 CDC45 CDC6 CDK1 CDT1 DHFR E2F1 E2F4 E2F6 E2F7 FBXO5 GFI1 HINFP ID2 KLF11 NPAT ORC1 PCNA POLA1 RB1 RRM2 TYMS ZPR1
G2/M transition of mitotic cell cycle	ABCB1 ACTR1A AJUBA AKAP9 ALMS1 ARPP19 AURKA BIRC5 BORA BRSK2 BTRC CCNA1 CCNA2 CCNB1 CCNB2 CCNH CCNY CCP110 CDC25A CDC25B CDC25C CDK1 CDK14 CDK2 CDK5RAP2 CDK7 CDKN1A CDKN2B CENPF CENPJ CEP131 CEP135 CEP152 CEP164 CEP192 CEP250 CEP290 CEP41 CEP57 CEP63 CEP70 CEP72 CEP76 CEP78 CETN2 CHEK1 CHEK2 CIT CKAP5 CLASP1 CNTRL CSNK1D CSNK1E CSRP2BP CUL1 DCTN1 DCTN2 DCTN3 DNM2 DYNC1H1 DYNC1I2 DYNLL1 ENSA EP300 FBXL15 FBXL7 FBXW11 FGFR1OP FOXM1 HAUS2 HSP90AA1 KDM8 KHDRBS1 LATS1 LIN37 LIN52 LIN54 LIN9 MAPRE1 MASTL MELK MNAT1 MYBL2 NDE1 NEDD1 NEK2 NES NINL NUMA1 ODF2 OFD1 OPTN PAFAH1B1 PCM1 PCNT PKMYT1 PLCB1 PLK1 PLK3 PLK4 PPM1D PPP1CB PPP1R12A PPP1R12B PPP2R1A PPP2R2A PRKACA PRKAR2B RAB8A RBBP4 RPS27A SDCCAG8 SFI1 SKP1 SKP2 SSNA1 TAF2 TERF1 TPD52L1 TUBA1A TUBA4A TUBB TUBB4A TUBB4B TUBG1 TUBG2 TUBGCP2 TUBGCP3 TUBGCP4 TUBGCP5 TUBGCP6 UBA52 UBB UBC USH1C WEE1 WNT10B YWHAE YWHAG
sulfur amino acid metabolic process	ADI1 AGXT AHCY APIP BHMT BHMT2 CACNA1A CBS CDO1 CNDP2 CPS1 CSAD CTH DPEP1 EIF2B1 EIF2B2 EIF2B4 ENOPH1 ETHE1 GCLC GCLM GGT1 GNMT GOT1 MAT1A MAT2A MAT2B MRI1 MSRA MTAP MTHFD1 MTHFD2L MTHFR MTR MTRR MUT NFS1 NOX4 PCYOX1 PCYOX1L SLC25A10 SMS SQRDL SUOX TST
sulfur amino acid biosynthetic process	ADI1 AHCY APIP BHMT BHMT2 CBS CDO1 CTH EIF2B1 EIF2B2 EIF2B4 ENOPH1 GGT1 GOT1 MRI1 MTAP MTHFD1 MTHFD2L MTHFR MTR MTRR
sulfur amino acid catabolic process	AGXT CBS CDO1 CSAD CTH ETHE1 PCYOX1 PCYOX1L SLC25A10 SQRDL SUOX TST
establishment of mitotic spindle orientation	ARHGEF2 CDK5RAP2 CENPA DYNLT1 EYA1 FGF10 GPSM2 HTT INSC NDC80 NDE1 NUMA1 PAFAH1B1 SPDL1 SPRY1 SPRY2 ZW10
rRNA modification	C7ORF60 DIMT1 EMG1 FTSJ2 FTSJ3 NHP2 NSUN4 RRNAD1 TFB1M TFB2M
phosphorelay signal transduction system	CASS4 CNTLN KCNH1 KCNH2 KCNH3 KCNH4 KCNH5 KCNH8 MMS19 PDE8A PDE8B
MAPK cascade	ADORA2B ADRA2B AGT APOA1 ARHGEF6 ATF1 ATF2 AVP BRAF BRAP CAMKK2 CASR CAV1 CCL11 CCL2 CCL3 CCL5 CCM2 CCR5 CDC42EP5 CDK1 CREB1 CRKL CRYAB CTSH DOK4 DOK5 DUSP10 DUSP19 DUSP28 DUSP3 DUSP4 DUSP6 DUSP7 DUSP9 EGF EGFR ELK1 EPGN FGF10 FGF12 FGF13 FGF14 FGF8 FGFR1 FGFR3 FOS GPS1 GPS2 HRAS HTR2B IKBKG IL18 IL1B IL31RA INS IQGAP3 IRAK1 IRAK2 IRAK4 ITGAV ITPKB JUN KRAS LRRK2 MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 MAP2K7 MAP3K10 MAP3K11 MAP3K12 MAP3K13 MAP3K14 MAP3K15 MAP3K2 MAP3K3 MAP3K4 MAP3K5 MAP3K7 MAP3K8 MAP3K9 MAP4K2 MAP4K3 MAPK1 MAPK10 MAPK11 MAPK12 MAPK13 MAPK14 MAPK15 MAPK3 MAPK4 MAPK6 MAPK7 MAPK8 MAPK8IP2 MAPK9 MAPKAPK2 MAPKAPK3 MAPKAPK5 MED1 MEF2A MEF2C MEN1 MINK1 MOS MT3 MYC MYD88 NDST1 NF1 NLK NOD1 NOD2 NPHS1 NRAS NRG1 NRTN OXTR PAK1 PAK3 PLVAP POU4F2 PPM1L PPP2R5D PTGER4 PTK2B PTPLAD1 RAF1 RAPGEF2 RASGRP3 RB1CC1 RBM4 RET RHBDD3 RIPK2 ROR2 RPS27A RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA5 SCG2 SH2D3A SH2D3C SHANK3 SHC1 SMAD1 SOX9 STRADB TAB1 TAB2 TAB3 TAOK2 TAOK3 TGFB1 TNF TNFRSF19 TNFSF11 TRAF6 TRIB1 UBA52 UBB UBC YWHAB ZAK
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	CASC3 CTIF DCP1A DCP1B DCP2 EIF3E EIF4A3 EIF4G1 ETF1 EXOSC10 FAU GSPT1 GSPT2 J3QRE1 MAGOH NCBP1 NCBP2 PABPC1 PARN PNRC2 PPP2CA PPP2R1A PPP2R2A RBM8A RNPS1 RPL10 RPL10A RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL3 RPL30 RPL31 RPL32 RPL34 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL4 RPL41 RPL5 RPL6 RPL7 RPL7A RPL8 RPL9 RPLP0 RPLP1 RPLP2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS19 RPS2 RPS20 RPS21 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS4Y1 RPS5 RPS6 RPS7 RPS8 RPS9 RPSA SMG1 SMG5 SMG6 SMG7 SMG8 SMG9 UBA52 UPF1 UPF2 UPF3A UPF3B WIBG
activation of MAPKKK activity	DAB2IP GADD45A GADD45B GADD45G GRM5 MAP4K1 TAB1 TNF TRAF7
activation of MAPKK activity	ADAM9 ADORA1 BMP4 BRAF CARTPT CDK1 CRK CRKL EGF EGFR EIF2AK2 ERCC6 F2R FRS2 GADD45B GADD45G GNAI2 GRM1 HRAS JAK2 KIDINS220 KISS1R KRAS LAMTOR2 LRRK2 MAP2K1 MAP2K2 MAP3K1 MAP3K10 MAP3K11 MAP3K12 MAP3K13 MAP3K14 MAP3K15 MAP3K2 MAP3K3 MAP3K4 MAP3K5 MAP3K6 MAP3K7 MAP3K8 MAP3K9 MAPK1 MAPK3 MLK4 MOS NGF NRAS NRK NTRK1 PLCG1 PSEN1 RAF1 RAP1A RAPGEF1 TAOK2 TGFBR1 TNIK YWHAB ZAK
