MBCO	GO
Centrosome cycle	centriole assembly;centrosome duplication;centrosome cycle
Centrosome duplication	centriole replication
Centrosome maturation	centriole elongation
Centrosome separation	centrosome separation
Cytokinesis	cytokinesis
Contractile ring formation	actomyosin contractile ring assembly
Contractile ring constriction	actomyosin contractile ring contraction
Cell Scenescence	cellular senescence;regulation of cellular senescence
Eukaryotic DNA replication	nuclear DNA replication
DNA replication initiation	nuclear cell cycle DNA replication initiation
Prereplicative complex formation	pre-replicative complex assembly
DNA replication elongation	DNA strand elongation involved in DNA replication
DNA recombination	DNA recombination;regulation of DNA recombination
VDJ recombination	V(D)J recombination
Class switch recombination	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains;regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
DNA single-strand break repair	single strand break repair
Mismatch repair	mismatch repair
Base excision repair	base-excision repair
Nucleotide excision repair	nucleotide-excision repair;preincision complex assembly
DNA double-strand break repair	double-strand break repair
Non-homologous end joining DSB repair	double-strand break repair via classical nonhomologous end joining
Homologous recombination DSB repair	double-strand break repair via homologous recombination
Alternative end joining DSB repair	double-strand break repair via alternative nonhomologous end joining
Single strand annealing DSB repair	double-strand break repair via single-strand annealing
DNA interstrand cross-links repair	interstrand cross-link repair
Mitochondrial DNA replication	mitochondrial DNA replication
Mitochondrial DNA repair	mitochondrial DNA repair;mitochondrial double-strand break repair
Cellular calcium homeostasis	cellular calcium ion homeostasis;calcium ion transport;regulation of calcium ion transmembrane transport;calcium ion transmembrane transport;calcium ion homeostasis;regulation of sequestering of calcium ion;endoplasmic reticulum calcium ion homeostasis;mitochondrial calcium ion homeostasis
Cellular potassium homeostasis	cellular potassium ion homeostasis;potassium ion transmembrane transport;potassium ion homeostasis;regulation of potassium ion transmembrane transport;regulation of potassium ion transport
Cellular sodium homeostasis	cellular sodium ion homeostasis;sodium ion transmembrane transport;sodium ion homeostasis;regulation of sodium ion transmembrane transport
Cellular chloride homeostasis	chloride transmembrane transport
Cellular magnesium homeostasis	magnesium ion transport
Cellular pH homeostasis	regulation of intracellular pH;regulation of pH;regulation of cellular pH
Bicarbonate transport across plasma membrane	bicarbonate transport
Cellular phosphate homeostasis	phosphate ion homeostasis;phosphate ion transport;phosphate ion transmembrane transport
Cellular copper homeostasis	cellular copper ion homeostasis;copper ion homeostasis;copper ion transport
Cellular zinc homeostasis	zinc ion homeostasis
Cellular sulfate homeostasis	sulfate transmembrane transport
Cellular redox homeostasis	cell redox homeostasis
Free radical generation for respiratory burst	respiratory burst
Response to hypoxia	response to hypoxia;cellular response to hypoxia
Organic anion transmembrane transport	organic anion transport
Organic cation and zwitterion transmembrane transport	organic cation transport
Oligopeptide homeostasis	peptide transport;regulation of peptide transport
Nuclear protein export	protein export from nucleus;regulation of protein export from nucleus
Nuclear protein import	protein import into nucleus;protein import into nucleus, translocation;regulation of protein import into nucleus;regulation of protein import into nucleus, translocation
Nuclear pore complex organization	nuclear pore organization
Peroxisomal protein import machinery	protein import into peroxisome matrix
Anterograde vesicle traffic from ER to Golgi	vesicle fusion with Golgi cis cisterna membrane;ER to Golgi vesicle-mediated transport
Vesicle biogenesis at ER membrane	COPII-coated vesicle budding
Retrograde vesicle traffic from Golgi to ER	retrograde vesicle-mediated transport;Golgi to ER
Vesicle biogenesis at cis-Golgi membrane	COPI coating of Golgi vesicle;cis-Golgi to rough ER; Golgi vesicle budding
Microtubule assistance of vesicle traffic between Golgi and ER	vesicle transport along microtubule
Clathrin-mediated vesicle traffic from TGN to endosomal lysosomal system	Golgi to endosome transport;Golgi to lysosome transport;trans-Golgi network to recycling endosome transport;clathrin coating of Golgi vesicle;trans-Golgi to endosome targeting
Clathrin-mediated vesicle traffic from TGN to lysosome	Golgi to lysosome transport;clathrin coating of Golgi vesicle
Retrograde vesicle traffic from endosome to TGN	retrograde transport;endosome to Golgi
Vesicle transport within the Golgi	intra-Golgi vesicle-mediated transport;COPI coating of Golgi vesicle;inter-Golgi cisterna
Vesicle exocytosis	exocytosis
Microtubule-based secretory vesicle traffic	Golgi to plasma membrane transport;Golgi to secretory granule transport;vesicle transport along microtubule
Vesicle tethering at plasma membrane	vesicle tethering involved in exocytosis;vesicle docking involved in exocytosis
Vesicle fusion with plasma membrane	synaptic vesicle fusion to presynaptic membrane
Exosome secretion	exosomal secretion
Lipid droplet dynamics	lipid storage
Endocytic pathway	plasma membrane to endosome transport;endocytic recycling;retrograde transport;endosome to plasma membrane;vesicle targeting;plasma membrane to endosome;plasma membrane to endosome transport;endocytic recycling;endocytic import into cell;ubiquitin-dependent endocytosis;synaptic vesicle recycling via endosome;early endosome to recycling endosome transport
Caveolin-mediated endocytosis	caveolin-mediated endocytosis
Clathrin-mediated endocytosis	clathrin-mediated endocytosis
Early endosome dynamics	endosome organization
Late endosome dynamics	endosome organization
Recycling endosome dynamics	endosome organization
Multivesicular body dynamics	multivesicular body organization;multivesicular body sorting pathway;ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway
Phagocytosis	phagosome maturation;phagosome-lysosome docking
Antigen presentation via MHC class II molecules	antigen processing and presentation following receptor mediated endocytosis
Chromatin remodeling	chromatin remodeling
Nucleosome assembly	nucleosome assembly
Nucleosome disassembly	nucleosome disassembly
Histone modification	histone modification;regulation of histone modification
Histone methylation	histone methylation
Histone demethylation	histone demethylation
Histone acetylation	histone acetylation
Histone deacetylation	histone acetylation
Histone phosphorylation	histone phosphorylation
Histone dephosphorylation	histone dephosphorylation
Histone ubiquitination	histone ubiquitination
Histone deubiquitination	histone deubiquitination
Transcription	mRNA transcription
Transcription by rna polymerase II	RNA Polymerase II core complex assembly
Regulation of RNA polymerase II by elongation factors	transcription elongation from RNA polymerase II promoter
Pre-mRNA capping	RNA capping
Nuclear mRNA export	mRNA export from nucleus
Pre-mRNA splicing	generation of catalytic spliceosome for first transesterification step;generation of catalytic spliceosome for second transesterification step
U4-U6-U5 tri-snRNP assembly	spliceosomal tri-snRNP complex assembly
snRNA transcription	snRNA transcription
Cytoplasmic core snRNP assembly	cytoplasmic U snRNP body assembly
Target RNA degradation, inhibition or destabilization by RICS or RITS	small RNA loading onto RISC
Cytoplasmic mRNA polyadenylation	mRNA polyadenylation
Nonsense-mediated mRNA decay pathway	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
rRNA transcription	rRNA transcription
rRNA processing	rRNA processing
Ribonucleoprotein assembly	ribonucleoprotein complex assembly
Ribonucleoprotein nuclear export	ribonucleoprotein complex export from nucleus
Ribonucleoprotein nuclear re-import	ribonucleoprotein complex import into nucleus
mRNA translation	translation
Translation initiation	cytoplasmic translational initiation
Translation elongation	cytoplasmic translational elongation
Translation termination	cytoplasmic translational termination
tRNA amino acid activation	tRNA aminoacylation for protein translation
Mitochondrial translation	mitochondrial translation
Complement pathway and regulation	complement activation;regulation of complement activation
Classical complement pathway	complement activation;classical pathway
Alternative complement pathway	complement activation;alternative pathway
Lectin complement pathway	complement activation;lectin pathway
Membrane attack complex formation	activation of membrane attack complex
Endogenous control of complement activity	negative regulation of complement activation
Acute-phase response	acute-phase response
Coagulation cascade	coagulation;regulation of coagulation
Posttranslational protein modification	post-translational protein modification
Chaperone mediated protein folding in ER	chaperone-mediated protein folding
ER unfolded protein response pathway	endoplasmic reticulum unfolded protein response
Endoplasmic reticulum quality control system	ERAD pathway
Dolichol-mediated precursor oligosaccharide synthesis	dolichol-linked oligosaccharide biosynthetic process
GPI-anchor synthesis and attachment to protein	GPI anchor biosynthetic process;attachment of GPI anchor to protein
Protein O-linked glycosylation in Golgi Apparatus	protein O-linked glycosylation
Protein prenylation	protein prenylation
Protein palmitoylation	protein palmitoylation
Post-translational protein modification in Mitochondria	mitochondrial protein processing
Protein sumoyulation	protein sumoylation
Protein neddylation	protein neddylation
Protein deneddylation	protein deneddylation
Cortical cytoskeleton dynamics	cortical actin cytoskeleton organization
Actin polymerization	actin filament polymerization
Actin filament severing and depolymerization	actin filament depolymerization;actin filament severing
Actin filament depolymerization	actin filament depolymerization
Actin filament severing	actin filament severing
Actin filament nucleation and branching	actin filament branching;actin nucleation
Actin filament nucleation	actin nucleation
Actin filament branching	actin filament branching
Actin filament capping	actin filament capping
Actin filament plus end capping	barbed-end actin filament capping
Actin filament minus end capping	pointed-end actin filament capping
Actin filament bundling and crosslinking	actin crosslink formation;actin filament bundle assembly
Microtubule dynamics	microtubule cytoskeleton organization
Microtubule nucleation	microtubule nucleation
Microtubule polymerization	microtubule polymerization
Microtubule crosslinking and bundling	microtubule bundle formation
Microtubule severing	microtubule severing
Microtubule organization center dynamics	microtubule organizing center organization
Centrosome organization	centrosome organization
Cytoplasmic intermediate filament and septin dynamics	intermediate filament cytoskeleton organization
Vimentin-like intermediate filament dynamics	intermediate filament cytoskeleton organization
Desmin dynamics	intermediate filament cytoskeleton organization
Glial fibrillary acidic protein dynamics	intermediate filament cytoskeleton organization
Peripherin dynamics	intermediate filament cytoskeleton organization
Vimentin dynamics	intermediate filament cytoskeleton organization
Epithelial intermediate filament dynamics	intermediate filament cytoskeleton organization
Acidic keratin dynamics	intermediate filament cytoskeleton organization
Neutral and basic keratin dynamics	intermediate filament cytoskeleton organization
Axonal intermediate filament dynamics	intermediate filament cytoskeleton organization
Neurofilament dynamics	intermediate filament cytoskeleton organization
Rolling cell adhesion	leukocyte tethering or rolling
Cell-cell junction organization	cell-cell adhesion
Adherens junction organization	adherens junction organization
Desmosome organization	desmosome organization
Tight junction organization	bicellular tight junction assembly
Gap junction organization	gap junction assembly;bicellular tight junction assembly
Cell-matrix adhesion organization	cell-matrix adhesion
Hemidesmosome organization	hemidesmosome assembly
Collagen fibril organization by fibril-associated bridges	collagen fibril organization
Basement membrane assembly and organization	basement membrane organization
Extracellular matrix breakdown	extracellular matrix disassembly;regulation of extracellular matrix disassembly
Chondroitin sulfate and dermatan sulfate synthesis	chondroitin sulfate biosynthetic process;dermatan sulfate biosynthetic process
Heparin and heparan sulfate synthesis	heparin biosynthetic process
Amyloid generation and aggregation	regulation of beta-amyloid formation
Amyloid precursor protein cleavage	regulation of amyloid precursor protein catabolic process
Eukaryotic intraflagellar transport	intraciliary transport
Filopodium organization	actin filament bundle assembly;actin filament bundle organization
Lamellipodium organization	actin filament network formation
Extrinsic apoptosis pathway	intrinsic apoptotic signaling pathway
Intrinsic apoptosis pathway	extrinsic apoptotic signaling pathway
Necroptosis	necrotic cell death;necroptotic process;programmed necrotic cell death
Connection of muscle sarcomere to extracellular matrix	smooth muscle cell-matrix adhesion
Thin myofilament organization	muscle thin filament assembly
Sarcoplasmic reticulum organization	sarcomere organization
Myofibril formation	myofibril assembly
Autophagy	autophagy;regulation of autophagy
Macroautophagy	macroautophagy;regulation of macroautophagy
Mitophagy	activation of mitophagy in response to mitochondrial depolarization;macromitophagy;micromitophagy
Protein polyubiquitination	protein polyubiquitination;regulation of protein polyubiquitination
Proteasomal core organization	proteasomal protein catabolic process;proteasome core complex assembly
Proteasomal regulatory particle organization	proteasome regulatory particle assembly
Cellular response to stress	regulation of cellular response to stress
Cellular response to hypoxia	response to hypoxia
Cellular response to oxidative stress	response to oxidative stress
Cellular response to radiation	cellular response to radiation
Response to heat stress	cellular response to heat
Glycolysis	canonical glycolysis
Gluconeogenesis	gluconeogenesis
Transmembrane glucose transport	glucose import across plasma membrane
Glycogenolysis	glycolysis from storage polysaccharide through glucose-1-phosphate
Mannose metabolism	mannose metabolic process
Fructose metabolism	fructose metabolic process
Pentose phosphate pathway	pentose-phosphate shunt
Oxidative phase of pentose phosphate pathway	pentose-phosphate shunt;oxidative branch
Non-oxidative phase of pentose phosphate pathway	pentose-phosphate shunt;non-oxidative branch
UDP-Glucose metabolism	UDP-glucose metabolic process
Monocarboxylate transmembrane transport	monocarboxylic acid transport
Electron transport chain	mitochondrial ATP synthesis coupled electron transport;oxidative phosphorylation
Malate-aspartate shuttle	malate-aspartate shuttle
Urea cycle	urea cycle
Mitochondrial urea cycle reactions	urea cycle
Cytoplasmic urea cycle reactions	urea cycle
Amine transmembrane transport	regulation of amine transport
Transmembrane transport of neutral amino acids	neutral amino acid transport
Transmembrane transport of anionic amino acids	acidic amino acid transport
Transmembrane transport of cationic amino acids	basic amino acid transport
Serine and glycine metabolism	serine family amino acid metabolic process;lysine metabolic process
Proline metabolism	proline metabolic process
Aspartate and arginine metabolism	aspartate family amino acid metabolic process;arginine metabolic process
Glutamate and glutamine metabolism	glutamate metabolic process;glutamine metabolic process
Glutamate transport across vesicle membrane	L-glutamate transport
Tyrosine metabolism	tyrosine metabolic process
Glyoxylate metabolism	glyoxylate metabolic process
Lysine metabolism	lysine metabolic process
Valine catabolism	valine metabolic process
Phenylalanine catabolism	L-phenylalanine catabolic process
Tryptophan metabolism	tryptophan metabolic process
Methionine cycle	methionine metabolic process
Catecholamine metabolism	catecholamine metabolic process
Catecholamine synthesis	catecholamine biosynthetic process
Thyroid-hormone synthesis	thyroid hormone generation
Serotonin and melatonin synthesis	serotonin metabolic process
De-novo synthesis of purines	purine nucleotide biosynthetic process
Purine salvage	purine nucleotide salvage
Pyrimidine salvage	pyrimidine nucleoside salvage
De-novo synthesis of pyrimidines	pyrimidine nucleotide biosynthetic process
Pyrimidine catabolism	pyrimidine nucleotide catabolic process
Purine catabolism	purine deoxyribonucleotide catabolic process
Fatty acid metabolism	fatty acid metabolic process
Beta-oxidation	fatty acid beta-oxidation
Mitochondrial beta-oxidation	fatty acid beta-oxidation
Peroxisomal beta-oxidation	fatty acid beta-oxidation
Fatty acid omega-hydroxylation	fatty acid omega-oxidation
Fatty acid transport by Carnitine shuttle	carnitine shuttle
Fatty acid elongation	fatty acid elongation
Desaturation of fatty acids	fatty acid metabolic process
Eicosanoid metabolism	icosanoid metabolic process
Prostanoid metabolism	prostanoid metabolic process
Leukotriene metabolism	leukotriene metabolic process
Epoxide metabolism	epoxygenase P450 pathway
Triacylglycerol metabolism and transport	triglyceride metabolic process;triglyceride transport
Triacylglycerol metabolism	triglyceride metabolic process
Triacylglycerol biosynthesis	triglyceride biosynthetic process
Triacylglycerol catabolism	triglyceride catabolic process
Triacylglycerol hydrolysis and mobilization	triglyceride mobilization
Extracellular triacylglycerol hydrolysis	triglyceride mobilization
Intracellular triacylglycerol mobilization	triglyceride mobilization
Membrane lipid metabolism	membrane lipid metabolic process
Phosphoglyceride biosynthesis	glycerophospholipid biosynthetic process
Phosphatidylcholine and phosphatidylethanolamine biosynthesis via Kennedy pathway	CDP-choline pathway;phosphatidylcholine biosynthesis from choline and CDP-diacylglycerol
Phosphatidylcholine, phoshpatidylethanolamine and phosphatidylserine interconversion	phosphatidylcholine biosynthesis from phosphatidylethanolamine;phosphatidylserine biosynthetic process
Phosphatidylinositol biosynthesis	phosphatidylinositol biosynthetic process
Sphingolipid metabolism	sphingolipid metabolic process
Ceramide biosynthesis	ceramide metabolic process
Ganglioside biosynthesis	Ganglioside biosynthesis
Sphingomyelin metabolism	Sphingomyelin metabolism
Vitamin D metabolism	vitamin D metabolic process
Cholesterol synthesis	cholesterol biosynthetic process
Cholesterol esterification	cholesterol esterification
Cholesterol-sensitive control of SREBP activation	SREBP signaling pathway
Bile acid synthesis from cholesterol	bile acid biosynthetic process
Steroid hormone synthesis	steroid biosynthetic process
Glucocorticoid and Mineralocorticoid synthesis	glucocorticoid biosynthetic process;mineralocorticoid biosynthetic process
Androgen synthesis	androgen biosynthetic process
Estrogen synthesis	estrogen biosynthetic process
Cobalamin metabolism	cobalamin metabolic process
Hemoglobin synthesis	hemoglobin biosynthetic process
Cellular iron uptake	mitochondrial iron ion transport
RNS Detoxification	cellular response to reactive oxygen species;response to reactive oxygen species
Regulation of T cell differentiation	T cell differentiation;regulation of T cell differentiation
Regulation of B cell differentiation	B cell differentiation;regulation of B cell differentiation
Regulation of natural killer cell differentiation	natural killer cell differentiation;regulation of natural killer cell differentiation
Regulation of myeloid cell differentiation	myeloid cell differentiation;regulation of myeloid cell differentiation
Regulation of erythrocyte cell differentiation	erythrocyte differentiation;regulation of erythrocyte differentiation
Regulation of megakaryocyte differentiation	regulation of megakaryocyte differentiation
Regulation of granulocyte differentiation	granulocyte differentiation;regulation of granulocyte differentiation
Regulation of monocyte differentiation	monocyte differentiation;regulation of monocyte differentiation
Regulation of myocyte cell differentiation	myoblast differentiation
Regulation of cardiomyocyte cell differentiation	cardiac muscle cell differentiation
Regulation of smooth muscle cell differentiation	smooth muscle cell differentiation;regulation of smooth muscle cell differentiation
Regulation of skeletal muscle cell differentiation	skeletal muscle cell differentiation;
Regulation of hepatocyte differentiation	hepatocyte differentiation
Regulation of osteoclast differentiation	osteoclast differentiation;regulation of osteoclast differentiation
Regulation of osteoblast differentiation	osteoblast differentiation;regulation of osteoblast differentiation
Regulation of astrocyte differentiation	astrocyte differentiation;regulation of astrocyte differentiation
Regulation of oligodendrocyte differentiation	oligodendrocyte differentiation;regulation of oligodendrocyte differentiation
Regulation of neuron cell differentiation	neuron differentiation
Regulation of rod photoreceptor cell differentiation	retinal rod cell development
Regulation of cone photoreceptor cell differentiation	retinal cone cell development
Regulation of spermatogenesis	spermatogenesis
Regulation of oogenesis	oogenesis
Regulation of white adipocyte differentiation	white fat cell differentiation
Regulation of brown adipocyte differentiation	brown fat cell differentiation
Regulation of chondrocyte cell differentiation	chondrocyte differentiation;regulation of chondrocyte differentiation
Regulation of inner hair cell differentiation	inner ear receptor cell differentiation
Regulation of odontogenesis	odontogenesis
Free fatty acid release from chylomicrons	chylomicron remodeling
Chylomicron remnant clearance	chylomicron remnant clearance
Free fatty acid release from VLDL particles	very-low-density lipoprotein particle remodeling
IDL particle clearance	intermediate-density lipoprotein particle clearance
IDL particle remodeling to LDL particle	intermediate-density lipoprotein particle remodeling
Binding of Spermatoza to the Zona Pellucida	binding of sperm to zona pellucida;sperm-egg recognition
Acrosomal Reaction	acrosome reaction
